3,3,1696,500000
3,4,2161,354900
3,4,2161,359900
3,2,1559,495000
3,2,1440,265000
6,4,3521,599000
4,5,2960,474888
7,3,3752,899900
3,2,1610,449900
5,3,1800,419900
4,4,4030,699900
5,2,3436,638000
2,2,945,668500
2,2,1051,334900
4,3,2082,354900
3,4,3108,480000
3,1,1597,324900
3,2,1431,469900
6,5,7200,1500000
10,6,4638,1600000
4,4,3200,599900
4,4,2605,729900
5,3,2745,499900
4,4,2175,449900
3,4,2005,359900
4,5,3809,1800000
4,4,2374,459900
3,1,1200,359900
5,3,2000,269900
3,3,1784,849900
4,4,2425,1285000
3,4,1904,399900
3,2,1198,229900
4,4,2907,949900
3,4,2005,359900
4,4,4558,3499000
4,4,1861,369000
4,4,2143,339900
3,2,1858,998620
3,2,1608,269900
4,4,2907,949900
6,4,3285,1100000
3,3,2100,469900
3,2,1608,269900
3,2,1456,339900
6,5,4207,1180000
4,4,2374,459900
4,4,4558,3499000
3,2,1935,475000
3,4,2070,1299900
4,3,2239,385500
4,4,2374,459900
4,4,3295,1350000
3,2,1198,229900
4,1,1785,284000
4,4,2425,1285000
6,5,4467,1099000
4,4,4750,789900
2,2,1147,299900
6,4,3960,1280000
2,3,2028,599900
4,4,4973,785000
4,4,3078,639900
3,2,2137,409500
6,2,2300,959000
2,1,879,499900
4,3,3900,1899000
3,2,1584,269900
3,1,1650,359500
3,2,1500,719900
3,3,1770,1252500
3,1,1292,199000
5,4,3002,524900
4,4,5392,844900
3,3,2200,499900
4,2,2758,474900
4,1,1591,379000
5,4,5013,1839900
4,2,2000,889000
4,4,5324,1495000
6,5,4689,945000
6,4,3291,759000



